Name,Score,Aired,Status,Studios,Source,Rank,Popularity,Favorites,Scored By,Members,Main Genre,Sub Genre,Year Released
Cowboy Bebop,8.75,"Apr 3, 1998 to Apr 24, 1999",Finished Airing,Sunrise,Original,41.0,43,78525,914193.0,1771505,Action,Award Winning,1998.0
Cowboy Bebop: Tengoku no Tobira,8.38,"Sep 1, 2001",Finished Airing,Bones,Original,189.0,602,1448,206248.0,360978,Action,Sci-Fi,
Trigun,8.22,"Apr 1, 1998 to Sep 30, 1998",Finished Airing,Madhouse,Manga,328.0,246,15035,356739.0,727252,Action,Adventure,1998.0
Witch Hunter Robin,7.25,"Jul 3, 2002 to Dec 25, 2002",Finished Airing,Sunrise,Original,2764.0,1795,613,42829.0,111931,Action,Drama,2002.0
Bouken Ou Beet,6.94,"Sep 30, 2004 to Sep 29, 2005",Finished Airing,Toei Animation,Manga,4240.0,5126,14,6413.0,15001,Adventure,Fantasy,2004.0
Eyeshield 21,7.92,"Apr 6, 2005 to Mar 19, 2008",Finished Airing,Gallop,Manga,688.0,1252,1997,86524.0,177688,Sports,No Sub-Genre,2005.0
Hachimitsu to Clover,8.0,"Apr 15, 2005 to Sep 27, 2005",Finished Airing,J.C.Staff,Manga,589.0,862,4136,81747.0,260166,Comedy,Drama,2005.0
Hungry Heart: Wild Striker,7.55,"Sep 11, 2002 to Sep 10, 2003",Finished Airing,Nippon Animation,Manga,1551.0,4212,237,12960.0,24172,Comedy,Slice of Life,2002.0
Initial D Fourth Stage,8.16,"Apr 17, 2004 to Feb 18, 2006",Finished Airing,A.C.G.T.,Manga,393.0,1273,1237,97878.0,173710,Action,Drama,2004.0
Monster,8.87,"Apr 7, 2004 to Sep 28, 2005",Finished Airing,Madhouse,Manga,26.0,142,47235,368569.0,1013100,Drama,Mystery,2004.0
Naruto,7.99,"Oct 3, 2002 to Feb 8, 2007",Finished Airing,Pierrot,Manga,599.0,8,76343,1883772.0,2717330,Action,Adventure,2002.0
One Piece,8.69,"Oct 20, 1999 to ?",Currently Airing,Toei Animation,Manga,55.0,20,198986,1226493.0,2168904,Action,Adventure,1999.0
Tennis no Ouji-sama,7.86,"Oct 10, 2001 to Mar 23, 2005",Finished Airing,Trans Arts,Manga,805.0,1246,3004,81992.0,178273,Sports,No Sub-Genre,2001.0
Ring ni Kakero 1,6.39,"Oct 6, 2004 to Dec 15, 2004",Finished Airing,Toei Animation,Manga,6943.0,8288,6,1378.0,4581,Action,Sports,2004.0
School Rumble,7.89,"Oct 5, 2004 to Mar 29, 2005",Finished Airing,Studio Comet,Manga,756.0,687,5139,146597.0,320203,Comedy,Romance,2004.0
Sunabouzu,7.38,"Oct 6, 2004 to Mar 30, 2005",Finished Airing,Gonzo,Manga,2167.0,1546,822,53709.0,134894,Action,Adventure,2004.0
Texhnolyze,7.76,"Apr 17, 2003 to Sep 25, 2003",Finished Airing,Madhouse,Original,990.0,935,4786,54857.0,239423,Action,Drama,2003.0
Trinity Blood,7.29,"Apr 29, 2005 to Oct 28, 2005",Finished Airing,Gonzo,Light novel,2591.0,1233,1298,79130.0,179583,Action,Supernatural,2005.0
Yakitate!! Japan,7.91,"Oct 12, 2004 to Mar 14, 2006",Finished Airing,Sunrise,Manga,704.0,1992,897,40492.0,95380,Comedy,Gourmet,2004.0
Zipang,7.48,"Oct 8, 2004 to Apr 1, 2005",Finished Airing,Studio Deen,Manga,1778.0,4430,180,7273.0,21391,Action,Drama,2004.0
Neon Genesis Evangelion,8.35,"Oct 4, 1995 to Mar 27, 1996",Finished Airing,"Gainax, Tatsunoko Production",Original,204.0,45,100638,1024927.0,1718019,Action,Avant Garde,1995.0
Neon Genesis Evangelion: Death & Rebirth,7.46,"Mar 15, 1997",Finished Airing,"Gainax, Production I.G",Original,1855.0,889,687,140233.0,251617,Drama,Sci-Fi,
Neon Genesis Evangelion: The End of Evangelion,8.55,"Jul 19, 1997",Finished Airing,"Gainax, Production I.G",Original,98.0,177,27272,586441.0,879361,Avant Garde,Drama,
Kenpuu Denki Berserk,8.56,"Oct 8, 1997 to Apr 1, 1998",Finished Airing,OLM,Manga,96.0,325,25404,325204.0,608800,Action,Adventure,1997.0
Koukaku Kidoutai,8.27,"Nov 18, 1995",Finished Airing,Production I.G,Manga,276.0,329,12339,315593.0,604276,Action,Award Winning,
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"Feb 20, 1999 to Sep 22, 1999",Finished Airing,Studio Deen,Manga,48.0,834,6137,134133.0,268621,Action,Drama,1999.0
Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Jan 10, 1996 to Sep 8, 1998",Finished Airing,"Gallop, Studio Deen",Manga,249.0,432,9907,230278.0,477389,Action,Adventure,1996.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,"Dec 20, 1997",Finished Airing,Gallop,Manga,1567.0,2885,88,26859.0,50732,Drama,No Sub-Genre,
Akira,8.16,"Jul 16, 1988",Finished Airing,Tokyo Movie Shinsha,Manga,389.0,208,12961,485580.0,804581,Action,Adventure,
.hack//Sign,6.95,"Apr 4, 2002 to Sep 26, 2002",Finished Airing,Bee Train,Original,4172.0,1243,1343,83009.0,178659,Adventure,Fantasy,2002.0
Aa! Megami-sama!,7.29,"Feb 21, 1993 to May 17, 1994",Finished Airing,AIC,Manga,2542.0,2832,246,26400.0,52627,Comedy,Romance,1993.0
Aa! Megami-sama! (TV),7.32,"Jan 7, 2005 to Jul 8, 2005",Finished Airing,AIC,Manga,2407.0,1392,1115,76377.0,155745,Comedy,Romance,2005.0
Tenshi Kinryouku,6.27,"May 25, 2000 to Aug 25, 2000",Finished Airing,Hal Film Maker,Manga,7564.0,2958,182,26701.0,48258,Action,Drama,2000.0
Kidou Tenshi Angelic Layer,7.26,"Apr 1, 2001 to Sep 23, 2001",Finished Airing,Bones,Manga,2727.0,2707,291,28552.0,57259,Award Winning,Comedy,2001.0
Ai Yori Aoshi,7.11,"Apr 11, 2002 to Sep 26, 2002",Finished Airing,J.C.Staff,Manga,3471.0,1839,447,52942.0,108460,Comedy,Drama,2002.0
Appleseed (Movie),7.06,"Apr 17, 2004",Finished Airing,Digital Frontier,Manga,3723.0,2370,170,41210.0,72186,Action,Drama,
Arc the Lad,6.51,"Apr 5, 1999 to Oct 11, 1999",Finished Airing,Bee Train,Game,6294.0,5012,14,5911.0,16013,Action,Adventure,1999.0
Avenger,5.86,"Oct 2, 2003 to Dec 25, 2003",Finished Airing,Bee Train,Original,9454.0,4856,20,6788.0,17396,Adventure,Fantasy,2003.0
